Prestataire,Mois,Palier kilométrique,Année,Valeur
COMPTOIR SERVICE,5,[0-4000],2023,100.00%
COMPTOIR SERVICE,5,[0-4000],2024,0.00%
COMPTOIR SERVICE,5,[4000-8000],2023,34.62%
COMPTOIR SERVICE,5,[4000-8000],2024,0.00%
COMPTOIR SERVICE,5,[8000-11000],2023,37.69%
COMPTOIR SERVICE,5,[8000-11000],2024,0.00%
COMPTOIR SERVICE,5,[11000-14000],2023,0.00%
COMPTOIR SERVICE,5,[11000-14000],2024,0.00%
COMPTOIR SERVICE,5,>14000,2023,0.00%
COMPTOIR SERVICE,5,>14000,2024,0.00%
S.T INDUSTRIE,5,[0-4000],2023,5.13%
S.T INDUSTRIE,5,[0-4000],2024,21.62%
S.T INDUSTRIE,5,[4000-8000],2023,53.85%
S.T INDUSTRIE,5,[4000-8000],2024,70.27%
S.T INDUSTRIE,5,[8000-11000],2023,38.46%
S.T INDUSTRIE,5,[8000-11000],2024,5.17%
S.T INDUSTRIE,5,[11000-14000],2023,2.56%
S.T INDUSTRIE,5,[11000-14000],2024,0.00%
S.T INDUSTRIE,5,>14000,2023,0.00%
S.T INDUSTRIE,5,>14000,2024,0.00%
SDTM,5,[0-4000],2023,15.38%
SDTM,5,[0-4000],2024,50.00%
SDTM,5,[4000-8000],2023,57.69%
SDTM,5,[4000-8000],2024,50.00%
SDTM,5,[8000-11000],2023,19.23%
SDTM,5,[8000-11000],2024,0.00%
SDTM,5,[11000-14000],2023,7.69%
SDTM,5,[11000-14000],2024,0.00%
SDTM,5,>14000,2023,0.00%
SDTM,5,>14000,2024,0.00%
TRANSMEL SARL,5,[0-4000],2023,25.00%
TRANSMEL SARL,5,[0-4000],2024,2.86%
TRANSMEL SARL,5,[4000-8000],2023,11.54%
TRANSMEL SARL,5,[4000-8000],2024,25.71%
TRANSMEL SARL,5,[8000-11000],2023,32.69%
TRANSMEL SARL,5,[8000-11000],2024,71.43%
TRANSMEL SARL,5,[11000-14000],2023,26.92%
TRANSMEL SARL,5,[11000-14000],2024,3.85%
TRANSMEL SARL,5,>14000,2023,0.00%
TRANSMEL SARL,5,>14000,2024,0.00%
COMPTOIR SERVICE,6,[0-4000],2023,43.75%
COMPTOIR SERVICE,6,[0-4000],2024,4.00%
COMPTOIR SERVICE,6,[4000-8000],2023,56.25%
COMPTOIR SERVICE,6,[4000-8000],2024,28.00%
COMPTOIR SERVICE,6,[8000-11000],2023,0.00%
COMPTOIR SERVICE,6,[8000-11000],2024,68.00%
COMPTOIR SERVICE,6,[11000-14000],2023,0.00%
COMPTOIR SERVICE,6,[11000-14000],2024,0.00%
COMPTOIR SERVICE,6,>14000,2023,0.00%
COMPTOIR SERVICE,6,>14000,2024,0.00%
S.T INDUSTRIE,6,[0-4000],2023,4.76%
S.T INDUSTRIE,6,[0-4000],2024,19.35%
S.T INDUSTRIE,6,[4000-8000],2023,59.52%
S.T INDUSTRIE,6,[4000-8000],2024,41.94%
S.T INDUSTRIE,6,[8000-11000],2023,30.95%
